train dataset: size=20260
  inp: shape=(1, 64, 64)
  coord: shape=(4096, 2)
  cell: shape=(4096, 2)
  gt: shape=(4096, 1)
val dataset: size=52
  inp: shape=(1, 864, 1536)
  coord: shape=(2073600, 2)
  cell: shape=(2073600, 2)
  gt: shape=(2073600, 1)
model: #params=34.1K
epoch 1/1000, train: loss=0.0986, val: psnr=24.5802, 51.0s 51.0s/14.2h
epoch 2/1000, train: loss=0.0904, val: psnr=24.5234, 34.1s 1.4m/11.8h
epoch 3/1000, train: loss=0.0904, val: psnr=24.6112, 33.2s 2.0m/11.0h
epoch 4/1000, train: loss=0.0898, val: psnr=24.6233, 33.3s 2.5m/10.5h
epoch 5/1000, train: loss=0.0894, val: psnr=24.6079, 33.0s 3.1m/10.3h
epoch 6/1000, train: loss=0.0897, val: psnr=24.6277, 32.1s 3.6m/10.0h
epoch 7/1000, train: loss=0.0897, val: psnr=24.5621, 32.4s 4.2m/9.9h
epoch 8/1000, train: loss=0.0889, val: psnr=24.6269, 32.2s 4.7m/9.8h
epoch 9/1000, train: loss=0.0897, val: psnr=24.6245, 32.2s 5.2m/9.7h
epoch 10/1000, train: loss=0.0893, val: psnr=24.6202, 32.0s 5.8m/9.6h
epoch 11/1000, train: loss=0.0892, val: psnr=24.6418, 31.9s 6.3m/9.5h
epoch 12/1000, train: loss=0.0887, val: psnr=24.6430, 31.7s 6.8m/9.5h
epoch 13/1000, train: loss=0.0891, val: psnr=24.6315, 31.9s 7.4m/9.4h
epoch 14/1000, train: loss=0.0883, val: psnr=24.6287, 31.7s 7.9m/9.4h
epoch 15/1000, train: loss=0.0889, val: psnr=24.6420, 31.8s 8.4m/9.3h
epoch 16/1000, train: loss=0.0891, val: psnr=24.5955, 32.0s 8.9m/9.3h
epoch 17/1000, train: loss=0.0887, val: psnr=24.6313, 32.2s 9.5m/9.3h
epoch 18/1000, train: loss=0.0884, val: psnr=24.6551, 33.1s 10.0m/9.3h
epoch 19/1000, train: loss=0.0889, val: psnr=24.6400, 32.6s 10.6m/9.3h
epoch 20/1000, train: loss=0.0886, val: psnr=24.6500, 32.9s 11.1m/9.3h
epoch 21/1000, train: loss=0.0888, val: psnr=24.6545, 32.6s 11.7m/9.3h
epoch 22/1000, train: loss=0.0891, val: psnr=24.6330, 32.6s 12.2m/9.3h
epoch 23/1000, train: loss=0.0887, val: psnr=24.6487, 32.6s 12.8m/9.2h
epoch 24/1000, train: loss=0.0883, val: psnr=24.6573, 32.3s 13.3m/9.2h
epoch 25/1000, train: loss=0.0888, val: psnr=24.6445, 32.8s 13.8m/9.2h
epoch 26/1000, train: loss=0.0882, val: psnr=24.6607, 32.6s 14.4m/9.2h
epoch 27/1000, train: loss=0.0885, val: psnr=24.6467, 32.7s 14.9m/9.2h
epoch 28/1000, train: loss=0.0881, val: psnr=24.6500, 33.0s 15.5m/9.2h
epoch 29/1000, train: loss=0.0880, val: psnr=24.6302, 33.9s 16.0m/9.2h
epoch 30/1000, train: loss=0.0886, val: psnr=24.6499, 32.6s 16.6m/9.2h
epoch 31/1000, train: loss=0.0885, val: psnr=24.6599, 32.6s 17.1m/9.2h
